x,y,h
114.1912536,30.52669589,6
114.1912536,30.53028915,18
114.1912536,30.53208578,6
114.1912536,30.53388241,6
114.1912536,30.53567904,16
114.1912536,30.53747567,35
114.1912536,30.5392723,3
114.1912536,30.54106893,2
114.1912536,30.54286556,32
114.1912536,30.54466219,53
114.1912536,30.54645883,44
114.1912536,30.54825546,53
114.1912536,30.55005209,4
114.1912536,30.55364535,7
114.1912536,30.55903524,16
114.1912536,30.56083187,12
114.1912536,30.5626285,12
114.1912536,30.56442513,2
114.1912536,30.56622176,14
114.1912536,30.57520491,8
114.1912536,30.58778133,36
114.1912536,30.58957796,18
114.1912536,30.59137459,15
114.1912536,30.59317122,8
114.1912536,30.59496785,12
114.1912536,30.59676448,8
114.1912536,30.60035774,47
114.1912536,30.60215437,33
114.1912536,30.603951,61
114.1912536,30.60574763,27
114.1912536,30.60934089,16
114.1912536,30.61113753,76
114.1912536,30.61293416,14
114.1912536,30.61473079,6
114.1912536,30.61652742,27
114.1912536,30.61832405,7
114.1912536,30.62012068,152
114.1912536,30.62191731,127
114.1912536,30.62371394,126
114.1912536,30.62551057,4
114.1912536,30.6273072,19
114.1912536,30.62910383,9
114.1912536,30.63090046,3
114.1933377,30.51771274,1
114.1933377,30.52489926,11
114.1933377,30.52669589,42
114.1933377,30.52849252,33
114.1933377,30.53028915,2
114.1933377,30.53208578,2
114.1933377,30.53388241,47
114.1933377,30.53567904,33
114.1933377,30.53747567,22
114.1933377,30.5392723,33
114.1933377,30.54106893,3
114.1933377,30.54286556,9
114.1933377,30.54466219,164
114.1933377,30.54645883,35
114.1933377,30.54825546,18
114.1933377,30.55005209,8
114.1933377,30.55184872,4
114.1933377,30.55364535,14
114.1933377,30.55903524,14
114.1933377,30.5626285,48
114.1933377,30.56442513,12
114.1933377,30.56622176,9
114.1933377,30.56801839,12
114.1933377,30.57161165,4
114.1933377,30.57340828,6
114.1933377,30.58778133,23
114.1933377,30.58957796,1
114.1933377,30.59137459,86
114.1933377,30.59317122,6
114.1933377,30.59496785,8
114.1933377,30.59676448,22
114.1933377,30.59856111,29
114.1933377,30.60035774,4
114.1933377,30.60215437,4
114.1933377,30.603951,14
114.1933377,30.60574763,39
114.1933377,30.60754426,8
114.1933377,30.61473079,24
114.1933377,30.61652742,144
114.1933377,30.61832405,655
114.1933377,30.62012068,112
114.1933377,30.62191731,997
114.1933377,30.62371394,618
114.1933377,30.62551057,6
114.1933377,30.6273072,123
114.1933377,30.62910383,9
114.1933377,30.63090046,5
114.1954219,30.51052621,1
114.1954219,30.51232284,2
114.1954219,30.51591611,4
114.1954219,30.51771274,1
114.1954219,30.51950937,16
114.1954219,30.521306,15
114.1954219,30.52310263,4
114.1954219,30.52489926,2
114.1954219,30.52849252,8
114.1954219,30.53388241,6
114.1954219,30.53567904,68
114.1954219,30.53747567,16
114.1954219,30.5392723,13
114.1954219,30.54106893,24
114.1954219,30.54466219,13
114.1954219,30.54645883,35
114.1954219,30.54825546,51
114.1954219,30.55005209,28
114.1954219,30.55184872,2
114.1954219,30.55544198,4
114.1954219,30.55723861,18
114.1954219,30.55903524,24
114.1954219,30.56083187,2
114.1954219,30.5626285,19
114.1954219,30.56442513,6
114.1954219,30.56622176,26
114.1954219,30.56801839,19
114.1954219,30.57340828,13
114.1954219,30.57700154,1
